,0,1,2
0,"fessenden has nurtured his metaphors at the expense of his narrative , but he does display an original talent .",1,0
1,"... unlike (scorsese 's mean streets) , ash wednesday is essentially devoid of interesting characters or even a halfway intriguing plot .",0,0
2,"a film of empty , fetishistic violence in which murder is casual and fun .",0,0
3,"there 's something unintentionally comic in the film 's drumbeat about authenticity , given the stale plot and pornographic way the film revels in swank apartments , clothes and parties .",0,0
4,pair that with really poor comedic writing ... and you 've got a huge mess .,0,0
5,"other than the slightly flawed (and fairly unbelievable) finale , everything else is top shelf .",1,0
6,she boxes these women 's souls right open for us .,1,0
7,"maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor .",1,0
8,blue crush is so prolonged and boring it is n't even close to being the barn-burningly bad movie it promised it would be .,0,0
9,"soulless and -- even more damning -- virtually joyless , xxx achieves near virtuosity in its crapulence .",0,0
10,me without you has a bracing truth that 's refreshing after the phoniness of female-bonding pictures like divine secrets of the ya-ya sisterhood .,1,0
11,australian filmmaker david flatman uses the huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them .,1,0
12,"watching this gentle , mesmerizing portrait of a man coming to terms with time , you barely realize your mind is being blown .",1,0
13,"stitch is a bad mannered , ugly and destructive little \*\*\*\* .",0,0
14,it 's depressing to see how far herzog has fallen .,0,0
15,the work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .,1,0
16,the film 's images give a backbone to the company and provide an emotional edge to its ultimate demise .,1,0
17,i 'd be hard pressed to think of a film more cloyingly sappy than evelyn this year .,0,0
18,"feels like the work of someone who may indeed have finally aged past his prime ... and , perhaps more than he realizes , just wants to be liked by the people who can still give him work .",0,0
19,"unfortunately , we 'd prefer a simple misfire .",0,0
20,"the movie is hardly a masterpiece , but it does mark ms. bullock 's best work in some time .",1,0
21,"on its own , big trouble could be considered a funny little film .",1,0
22,mctiernan 's remake may be lighter on its feet -- the sober-minded original was as graceful as a tap-dancing rhino -- but it is just as boring and as obvious .,0,0
23,"not a strike against yang 's similarly themed yi yi , but i found what time ?",0,0
